Batch Name,Total Tickets,Total Help Tickets,% Help Tickets,% Support Tickets,Help - Open,Help - Resolved,Help - Reopened,Help - Closed,Total Support Tickets,Support - Open,Support - Resolved,Support - Reopened,Support - Closed,Number of Users in Batch,Number of Active Users in Batch,Unique Users - Help,Unique Users - Support,Unique Users - Both Help & Support
IITH-AIML-2510,27,26,96.30%,3.70%,1,25,0,0,1,0,1,0,0,314,0,17,1,1
IITMandi-AI-2504,4,2,50.00%,50.00%,0,2,0,0,2,0,2,0,0,361,228,1,1,0
IITMandi-BA-2504,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,161,81,0,0,0
IITMandi-CSE-2504,2,2,100.00%,0.00%,0,2,0,0,0,0,0,0,0,70,46,1,0,0
IITMandi-DSML-2504,2,2,100.00%,0.00%,0,2,0,0,0,0,0,0,0,133,96,2,0,0
IITMD-BA-2502,4,3,75.00%,25.00%,0,2,0,1,1,0,1,0,0,162,160,2,1,0
IITMD-CYB-2502,3,3,100.00%,0.00%,0,0,1,2,0,0,0,0,0,59,58,3,0,0
IITMD-DSAI-2508,53,43,81.13%,18.87%,0,42,1,0,10,0,10,0,0,639,526,32,10,2
IITMD-DSAI-2512,3,2,66.67%,33.33%,1,1,0,0,1,0,1,0,0,26,0,2,1,0
IITMDCSE-2410,11,10,90.91%,9.09%,0,10,0,0,1,0,1,0,0,2084,603,6,1,0
IITMDCSE-2501,73,65,89.04%,10.96%,0,65,0,0,8,0,6,0,2,380,180,43,6,2
IITMDCSE-2504,18,16,88.89%,11.11%,0,16,0,0,2,0,2,0,0,264,226,12,2,1
IITMDDSAI-2505,29,28,96.55%,3.45%,0,28,0,0,1,0,1,0,0,561,443,27,1,1
IITMDES-2503,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,19,18,0,0,0
IITMDML-2408,7,7,100.00%,0.00%,7,0,0,0,0,0,0,0,0,481,174,7,0,0
IITMDML-2409,4,4,100.00%,0.00%,4,0,0,0,0,0,0,0,0,261,79,2,0,0
IITP-AIE-2511,1,1,100.00%,0.00%,0,1,0,0,0,0,0,0,0,17,0,1,0,0
IITP-AIML-2506,63,57,90.48%,9.52%,0,57,0,0,6,0,6,0,0,530,517,38,6,2
IITP-AIML-2510,17,16,94.12%,5.88%,0,15,1,0,1,0,1,0,0,437,398,13,1,0
IITP-AIML-2601,108,108,100.00%,0.00%,1,107,0,0,0,0,0,0,0,520,491,78,0,0
IITP-AIML-2601B,78,78,100.00%,0.00%,1,77,0,0,0,0,0,0,0,342,0,57,0,0
IITP-AIML-2604,51,50,98.04%,1.96%,3,46,1,0,1,0,1,0,0,414,163,36,1,0
IITP-AIMLH-2602,86,83,96.51%,3.49%,1,81,1,0,3,0,3,0,0,275,272,49,3,2
IITP-AIMLH-2605,7,7,100.00%,0.00%,3,4,0,0,0,0,0,0,0,23,5,6,0,0
